# Exported using VGG Image Annotator (http://www.robots.ox.ac.uk/~vgg/software/via)
# Notes:
# - spatial_coordinates of [2,10,20,50,80] denotes a rectangle (shape_id=2) of size 50x80 placed at (10,20)
# - temporal coordinate of [1.349,2.741] denotes a temporal segment from time 1.346 sec. to 2.741 sec.
# - temporal coordinate of [4.633] denotes a still video frame at 4.633 sec.
# - metadata of {""1"":""3""} indicates attribute with id "1" set to an attribute option with id "3"
# SHAPE_ID = {"POINT":1,"RECTANGLE":2,"CIRCLE":3,"ELLIPSE":4,"LINE":5,"POLYLINE":6,"POLYGON":7,"EXTREME_RECTANGLE":8,"EXTREME_CIRCLE":9}
# FLAG_ID = {"RESERVED_FOR_FUTURE":1}
# ATTRIBUTE = {"1":{"aname":"name","anchor_id":"FILE1_Z0_XY1","type":4,"desc":"","options":{"0":"cow","1":"bull","2":"pup"},"default_option_id":"2"}}
# CSV_HEADER = metadata_id,file_list,flags,temporal_coordinates,spatial_coordinates,metadata
"3_CXCQxRM9","[""2_14_2018_es_pr_50---75.png""]",0,"[]","[2,158.172,380.492,129.174,27.241]","{""1"":""0""}"
"4_TnzrGBVX","[""2_14_2018_es_pr_50---74.png""]",0,"[]","[2,177,449,70,27]","{""1"":""2""}"
"7_HOLXsF4X","[""2_14_2018_es_pr_50---62.png""]",0,"[]","[2,366,392,72,69]","{""1"":""0""}"
"7_UzIqtQCa","[""2_14_2018_es_pr_50---62.png""]",0,"[]","[2,383,439,25,32]","{""1"":""2""}"
"7_JeHj121M","[""2_14_2018_es_pr_50---62.png""]",0,"[]","[2,310,258,35,21]","{""1"":""2""}"
"7_h6rw9gKi","[""2_14_2018_es_pr_50---62.png""]",0,"[]","[2,253,168,26,35]","{""1"":""2""}"
"7_yl6KCLSc","[""2_14_2018_es_pr_50---62.png""]",0,"[]","[2,228,267,24,39]","{""1"":""2""}"
"7_HcXfgXO8","[""2_14_2018_es_pr_50---62.png""]",0,"[]","[2,159,331,59,25]","{""1"":""2""}"
"7_RWbwX3Qn","[""2_14_2018_es_pr_50---62.png""]",0,"[]","[2,160,309,47,20]","{""1"":""2""}"
"7_wWIWbupC","[""2_14_2018_es_pr_50---62.png""]",0,"[]","[2,34,276,35,23]","{""1"":""2""}"
"7_RAkkQLwy","[""2_14_2018_es_pr_50---62.png""]",0,"[]","[2,399,30,48,25]","{""1"":""2""}"
"7_JfAPd0Xp","[""2_14_2018_es_pr_50---62.png""]",0,"[]","[2,264,4,54,22]","{""1"":""2""}"
"7_orXFkbpX","[""2_14_2018_es_pr_50---62.png""]",0,"[]","[2,102,165,38,22]","{""1"":""2""}"
"7_Kn7sj8MC","[""2_14_2018_es_pr_50---62.png""]",0,"[]","[2,144,215,30,22]","{""1"":""2""}"
"7_wXT1v2DX","[""2_14_2018_es_pr_50---62.png""]",0,"[]","[2,64,215,29,17]","{""1"":""2""}"
"7_DzROb8Ii","[""2_14_2018_es_pr_50---62.png""]",0,"[]","[2,1,133,57,91]","{""1"":""1""}"
"7_QEvOTcTg","[""2_14_2018_es_pr_50---62.png""]",0,"[]","[2,98,244,34,24]","{""1"":""2""}"
"7_QbUltIxD","[""2_14_2018_es_pr_50---62.png""]",0,"[]","[2,36,227,42,22]","{""1"":""2""}"
"7_TwakrsGn","[""2_14_2018_es_pr_50---62.png""]",0,"[]","[2,4,241,55,16]","{""1"":""2""}"
"7_hMqNuRYe","[""2_14_2018_es_pr_50---62.png""]",0,"[]","[2,243,44,63,30]","{""1"":""2""}"
"7_IcOLGZGn","[""2_14_2018_es_pr_50---62.png""]",0,"[]","[2,141,259,33,19]","{""1"":""2""}"
"7_N9MSAVSx","[""2_14_2018_es_pr_50---62.png""]",0,"[]","[2,112,272,30,19]","{""1"":""2""}"
"7_4a2zQbxa","[""2_14_2018_es_pr_50---62.png""]",0,"[]","[2,128,313,26,36]","{""1"":""2""}"
"8_Mj6OXwN8","[""2_14_2018_es_pr_50---61.png""]",0,"[]","[2,414,132,67,89]","{""1"":""1""}"
"8_X2P6bmPV","[""2_14_2018_es_pr_50---61.png""]",0,"[]","[2,446,268,43,28]","{""1"":""2""}"
"8_NhOv6Wpt","[""2_14_2018_es_pr_50---61.png""]",0,"[]","[2,424,242,58,22]","{""1"":""2""}"
"8_anEMOF1k","[""2_14_2018_es_pr_50---61.png""]",0,"[]","[2,459,223,35,30]","{""1"":""2""}"
"8_SB4miNgI","[""2_14_2018_es_pr_50---61.png""]",0,"[]","[2,296,154,26,39]","{""1"":""2""}"
"8_0eoxDEOz","[""2_14_2018_es_pr_50---61.png""]",0,"[]","[2,365,54,46,30]","{""1"":""2""}"
"8_T2TpAMN5","[""2_14_2018_es_pr_50---61.png""]",0,"[]","[2,163,10,37,68]","{""1"":""0""}"
"8_XdTJ3Pmf","[""2_14_2018_es_pr_50---61.png""]",0,"[]","[2,156,34,22,26]","{""1"":""2""}"
"8_jwECCniP","[""2_14_2018_es_pr_50---61.png""]",0,"[]","[2,246,26,25,32]","{""1"":""2""}"
"8_6mGBTmq6","[""2_14_2018_es_pr_50---61.png""]",0,"[]","[2,210,46,61,35]","{""1"":""0""}"
"10_ntVChiKo","[""2_14_2018_es_pr_50---51.png""]",0,"[]","[2,288,231,104,62]","{""1"":""1""}"
"10_Hqp2amm5","[""2_14_2018_es_pr_50---51.png""]",0,"[]","[2,399,451,51,26]","{""1"":""2""}"
"10_8OO1zGZX","[""2_14_2018_es_pr_50---51.png""]",0,"[]","[2,265,420,59,25]","{""1"":""2""}"
"10_ZdLXQ2U3","[""2_14_2018_es_pr_50---51.png""]",0,"[]","[2,122,317,30,38]","{""1"":""2""}"
"10_w4GfPRl8","[""2_14_2018_es_pr_50---51.png""]",0,"[]","[2,249,471,48,21]","{""1"":""2""}"
"11_qbuaoDYv","[""2_14_2018_es_pr_50---50.png""]",0,"[]","[2,76,224,39,34]","{""1"":""2""}"
"11_Q5u729kW","[""2_14_2018_es_pr_50---50.png""]",0,"[]","[2,242,447,34,35]","{""1"":""2""}"
"11_34X2zWTB","[""2_14_2018_es_pr_50---50.png""]",0,"[]","[2,210,468,66,31]","{""1"":""0""}"
"11_abRYtVDb","[""2_14_2018_es_pr_50---50.png""]",0,"[]","[2,155,455,24,30]","{""1"":""2""}"
"11_hXFiU6XK","[""2_14_2018_es_pr_50---50.png""]",0,"[]","[2,168,431,42,62]","{""1"":""0""}"
"11_v8hVyDgA","[""2_14_2018_es_pr_50---50.png""]",0,"[]","[2,158,380,54,26]","{""1"":""2""}"
"11_XpyIqwHy","[""2_14_2018_es_pr_50---50.png""]",0,"[]","[2,224,293,31,60]","{""1"":""0""}"
"11_IFCXYQCg","[""2_14_2018_es_pr_50---50.png""]",0,"[]","[2,81,272,75,25]","{""1"":""0""}"
