# Exported using VGG Image Annotator (http://www.robots.ox.ac.uk/~vgg/software/via)
# Notes:
# - spatial_coordinates of [2,10,20,50,80] denotes a rectangle (shape_id=2) of size 50x80 placed at (10,20)
# - temporal coordinate of [1.349,2.741] denotes a temporal segment from time 1.346 sec. to 2.741 sec.
# - temporal coordinate of [4.633] denotes a still video frame at 4.633 sec.
# - metadata of {""1"":""3""} indicates attribute with id "1" set to an attribute option with id "3"
# SHAPE_ID = {"POINT":1,"RECTANGLE":2,"CIRCLE":3,"ELLIPSE":4,"LINE":5,"POLYLINE":6,"POLYGON":7,"EXTREME_RECTANGLE":8,"EXTREME_CIRCLE":9}
# FLAG_ID = {"RESERVED_FOR_FUTURE":1}
# ATTRIBUTE = {"1":{"aname":"name","anchor_id":"FILE1_Z0_XY1","type":4,"desc":"","options":{"0":"cow","1":"bull","2":"pup"},"default_option_id":""}}
# CSV_HEADER = metadata_id,file_list,flags,temporal_coordinates,spatial_coordinates,metadata
"1_J9YTtLhy","[""2_14_2018_es_sb_39---100.png""]",0,"[]","[2,160,279,87,51]","{""1"":""1""}"
"3_I7zG3g9v","[""2_14_2018_es_sb_37---104.png""]",0,"[]","[2,47,319,21,34]","{""1"":""2""}"
"4_2J9nVr3z","[""2_14_2018_es_sb_37---103.png""]",0,"[]","[2,465,314,22,42]","{""1"":""2""}"
"4_fZJy20Ft","[""2_14_2018_es_sb_37---103.png""]",0,"[]","[2,21,70,41,28]","{""1"":""2""}"
"4_ebxZzYjW","[""2_14_2018_es_sb_37---103.png""]",0,"[]","[2,23,47,25,28]","{""1"":""2""}"
"5_FXMOaxou","[""2_14_2018_es_sb_37---102.png""]",0,"[]","[2,443,72,36,21]","{""1"":""2""}"
"5_qXXoiPqo","[""2_14_2018_es_sb_37---102.png""]",0,"[]","[2,447,45,24,29]","{""1"":""2""}"
"8_IFR6EXwo","[""2_14_2018_es_sb_41---50.png""]",0,"[]","[2,369,245,30,38]","{""1"":""2""}"
"8_xi9k65wc","[""2_14_2018_es_sb_41---50.png""]",0,"[]","[2,257,255,49,21]","{""1"":""2""}"
"9_wBrIN2X2","[""2_14_2018_es_sb_41---39.png""]",0,"[]","[2,7,29,87,56]","{""1"":""0""}"
"9_XamDObDg","[""2_14_2018_es_sb_41---39.png""]",0,"[]","[2,186,1,53,98]","{""1"":""1""}"
"10_mZlfsvWG","[""2_14_2018_es_sb_41---28.png""]",0,"[]","[2,152,397,113,34]","{""1"":""1""}"
"10_TEIrgwAN","[""2_14_2018_es_sb_41---28.png""]",0,"[]","[2,181,428,45,69]","{""1"":""1""}"
"11_56a3gE5X","[""2_14_2018_es_sb_40---46.png""]",0,"[]","[2,168,187,24,31]","{""1"":""2""}"
