# Exported using VGG Image Annotator (http://www.robots.ox.ac.uk/~vgg/software/via)
# Notes:
# - spatial_coordinates of [2,10,20,50,80] denotes a rectangle (shape_id=2) of size 50x80 placed at (10,20)
# - temporal coordinate of [1.349,2.741] denotes a temporal segment from time 1.346 sec. to 2.741 sec.
# - temporal coordinate of [4.633] denotes a still video frame at 4.633 sec.
# - metadata of {""1"":""3""} indicates attribute with id "1" set to an attribute option with id "3"
# SHAPE_ID = {"POINT":1,"RECTANGLE":2,"CIRCLE":3,"ELLIPSE":4,"LINE":5,"POLYLINE":6,"POLYGON":7,"EXTREME_RECTANGLE":8,"EXTREME_CIRCLE":9}
# FLAG_ID = {"RESERVED_FOR_FUTURE":1}
# ATTRIBUTE = {"1":{"aname":"name","anchor_id":"FILE1_Z0_XY1","type":4,"desc":"","options":{"0":"cow","1":"bull","2":"pup"},"default_option_id":"2"}}
# CSV_HEADER = metadata_id,file_list,flags,temporal_coordinates,spatial_coordinates,metadata
"1_dDFdCtwe","[""2_25_2021_es_db_12---27.png""]",0,"[]","[2,187.188,111.481,14.975,32.446]","{""1"":""2""}"
"1_gPVePKt1","[""2_25_2021_es_db_12---27.png""]",0,"[]","[2,188.02,148.918,14.975,34.942]","{""1"":""2""}"
"1_YhWsaXyw","[""2_25_2021_es_db_12---27.png""]",0,"[]","[2,182.196,197.171,13.311,35.774]","{""1"":""2""}"
"1_5NNnBZCl","[""2_25_2021_es_db_12---27.png""]",0,"[]","[2,227.121,133.943,27.455,33.278]","{""1"":""2""}"
"1_gpcdzWSZ","[""2_25_2021_es_db_12---27.png""]",0,"[]","[2,258.735,76.539,29.951,19.135]","{""1"":""2""}"
"1_jqEiaoiN","[""2_25_2021_es_db_12---27.png""]",0,"[]","[2,325.291,9.151,18.303,33.278]","{""1"":""2""}"
"1_qSUG7b9p","[""2_25_2021_es_db_12---27.png""]",0,"[]","[2,311.148,25.79,13.311,33.278]","{""1"":""2""}"
"1_Cl3aqX6L","[""2_25_2021_es_db_12---27.png""]",0,"[]","[2,416.805,78.203,28.287,40.765]","{""1"":""0""}"
"1_5b5VQSyH","[""2_25_2021_es_db_12---27.png""]",0,"[]","[2,357.737,103.161,29.118,84.859]","{""1"":""1""}"
"1_17xLplAy","[""2_25_2021_es_db_12---27.png""]",0,"[]","[2,391.015,62.396,19.135,29.95]","{""1"":""2""}"
"1_Qtk8SzTO","[""2_25_2021_es_db_12---27.png""]",0,"[]","[2,395.175,39.933,33.278,27.455]","{""1"":""2""}"
"1_v9eso98b","[""2_25_2021_es_db_12---27.png""]",0,"[]","[2,342.762,83.195,20.799,35.773]","{""1"":""2""}"
"1_ZXztaLnb","[""2_25_2021_es_db_12---27.png""]",0,"[]","[2,319.46795,59.89973,18.302,44.094]","{""1"":""2""}"
"1_flLuK2US","[""2_25_2021_es_db_12---27.png""]",0,"[]","[2,372.712,84.859,16.639,19.966]","{""1"":""2""}"
"1_dnxdFsPu","[""2_25_2021_es_db_12---27.png""]",0,"[]","[2,362.729,53.245,14.143,28.286]","{""1"":""2""}"
"1_nTKNgfHk","[""2_25_2021_es_db_12---27.png""]",0,"[]","[2,329.451,33.278,39.101,19.967]","{""1"":""2""}"
"1_RKbRxVgI","[""2_25_2021_es_db_12---27.png""]",0,"[]","[2,340.266,49.20914,15.807,32.32186]","{""1"":""2""}"
"1_umzbVmz8","[""2_25_2021_es_db_12---27.png""]",0,"[]","[2,294.376,75.571,25.483,41.301]","{""1"":""0""}"
"1_O5R6SOgt","[""2_25_2021_es_db_12---27.png""]",0,"[]","[2,291.74,99.297,14.938,21.09]","{""1"":""2""}"
"1_SR11jS3x","[""2_25_2021_es_db_12---27.png""]",0,"[]","[2,287.346,115.993,31.635,45.694]","{""1"":""0""}"
