# Exported using VGG Image Annotator (http://www.robots.ox.ac.uk/~vgg/software/via)
# Notes:
# - spatial_coordinates of [2,10,20,50,80] denotes a rectangle (shape_id=2) of size 50x80 placed at (10,20)
# - temporal coordinate of [1.349,2.741] denotes a temporal segment from time 1.346 sec. to 2.741 sec.
# - temporal coordinate of [4.633] denotes a still video frame at 4.633 sec.
# - metadata of {""1"":""3""} indicates attribute with id "1" set to an attribute option with id "3"
# SHAPE_ID = {"POINT":1,"RECTANGLE":2,"CIRCLE":3,"ELLIPSE":4,"LINE":5,"POLYLINE":6,"POLYGON":7,"EXTREME_RECTANGLE":8,"EXTREME_CIRCLE":9}
# FLAG_ID = {"RESERVED_FOR_FUTURE":1}
# ATTRIBUTE = {"1":{"aname":"name","anchor_id":"FILE1_Z0_XY1","type":4,"desc":"","options":{"0":"cow","1":"bull","2":"pup"},"default_option_id":"2"}}
# CSV_HEADER = metadata_id,file_list,flags,temporal_coordinates,spatial_coordinates,metadata
"11_KdYr0066","[""2_25_2021_es_db_21---70.png""]",0,"[]","[2,111.481,212.146,55.74,19.967]","{""1"":""2""}"
"11_JO8Jzo9J","[""2_25_2021_es_db_21---70.png""]",0,"[]","[2,96.506,179.7,113.145,27.455]","{""1"":""0""}"
"11_CGnFhkHN","[""2_25_2021_es_db_21---70.png""]",0,"[]","[2,163.062,159.734,59.068,19.966]","{""1"":""2""}"
"11_JbWbdwse","[""2_25_2021_es_db_21---70.png""]",0,"[]","[2,154.742,118.136,43.261,25.791]","{""1"":""2""}"
"11_LhXmB3dW","[""2_25_2021_es_db_21---70.png""]",0,"[]","[2,86.522,282.862,65.724,69.051]","{""1"":""0""}"
"14_U2Lgdpkt","[""2_25_2021_es_db_21---101.png""]",0,"[]","[2,278.702,351.913,78.203,24.127]","{""1"":""0""}"
"14_LInXBg8G","[""2_25_2021_es_db_21---101.png""]",0,"[]","[2,347.754,330.283,39.101,21.63]","{""1"":""2""}"
"14_w6f5vant","[""2_25_2021_es_db_21---101.png""]",0,"[]","[2,269.551,392.679,54.908,29.118]","{""1"":""2""}"
"14_YgTQibOq","[""2_25_2021_es_db_21---101.png""]",0,"[]","[2,221.298,382.696,46.589,26.622]","{""1"":""2""}"
"14_2WcBT9tg","[""2_25_2021_es_db_21---101.png""]",0,"[]","[2,221.298,264.559,101.497,37.438]","{""1"":""0""}"
"22_rc0vm4Zu","[""2_25_2021_es_db_22---37.png""]",0,"[]","[2,309,411,77,82]","{""1"":""0""}"
"22_OJXNe1Oo","[""2_25_2021_es_db_22---37.png""]",0,"[]","[2,304,468,45,20]","{""1"":""2""}"
"23_Zv11huUc","[""2_25_2021_es_db_22---38.png""]",0,"[]","[2,94,138,83,94]","{""1"":""1""}"
"25_Eq2ieSfw","[""2_25_2021_es_db_22---48.png""]",0,"[]","[2,74,309,83,29]","{""1"":""0""}"
"25_NoGtKiRX","[""2_25_2021_es_db_22---48.png""]",0,"[]","[2,310,3,63,73]","{""1"":""1""}"
"27_RAdc5SuM","[""2_25_2021_es_db_22---58.png""]",0,"[]","[2,321,133,171,65]","{""1"":""1""}"
"27_XeMw4RXE","[""2_25_2021_es_db_22---58.png""]",0,"[]","[2,377,226,29,23]","{""1"":""2""}"
"27_XDtlweeS","[""2_25_2021_es_db_22---58.png""]",0,"[]","[2,350,273,32,18]","{""1"":""2""}"
"27_TJ7imDil","[""2_25_2021_es_db_22---58.png""]",0,"[]","[2,367,293,37,21]","{""1"":""2""}"
"27_Q6mfsQT1","[""2_25_2021_es_db_22---58.png""]",0,"[]","[2,336,363,52,101]","{""1"":""1""}"
"27_5cGZLgFe","[""2_25_2021_es_db_22---58.png""]",0,"[]","[2,236,433,74,25]","{""1"":""0""}"
"27_niKXLxsX","[""2_25_2021_es_db_22---58.png""]",0,"[]","[2,6,372,71,29]","{""1"":""0""}"
"29_N8YmXU9B","[""2_25_2021_es_db_22---69.png""]",0,"[]","[2,31,102,146,64]","{""1"":""1""}"
"29_RA9usy7a","[""2_25_2021_es_db_22---69.png""]",0,"[]","[2,253,12,55,22]","{""1"":""2""}"
"29_1HKtRbeX","[""2_25_2021_es_db_22---69.png""]",0,"[]","[2,39,266,106,43]","{""1"":""0""}"
"33_MbVvuIl5","[""2_25_2021_es_db_23---7.png""]",0,"[]","[2,318,360,83,58]","{""1"":""1""}"
"33_UX0a8zrR","[""2_25_2021_es_db_23---7.png""]",0,"[]","[2,295,229,40,32]","{""1"":""2""}"
"33_wekpXJ2r","[""2_25_2021_es_db_23---7.png""]",0,"[]","[2,275,143,27,62]","{""1"":""0""}"
"33_IUG3LPhk","[""2_25_2021_es_db_23---7.png""]",0,"[]","[2,430,194,43,15]","{""1"":""2""}"
"33_YyjHmxup","[""2_25_2021_es_db_23---7.png""]",0,"[]","[2,352,108,22,45]","{""1"":""2""}"
"33_FnDABD4u","[""2_25_2021_es_db_23---7.png""]",0,"[]","[2,358,80,51,63]","{""1"":""2""}"
"33_6M5W3OsD","[""2_25_2021_es_db_23---7.png""]",0,"[]","[2,338,165,62,63]","{""1"":""1""}"
"33_Q69VbVfH","[""2_25_2021_es_db_23---7.png""]",0,"[]","[2,442,164,40,18]","{""1"":""2""}"
"33_pssnXfby","[""2_25_2021_es_db_23---7.png""]",0,"[]","[2,475,156,23,14]","{""1"":""2""}"
"33_Oc8qJKzd","[""2_25_2021_es_db_23---7.png""]",0,"[]","[2,448,136,31,19]","{""1"":""2""}"
"33_ReqspHEK","[""2_25_2021_es_db_23---7.png""]",0,"[]","[2,456,74,26,44]","{""1"":""0""}"
"33_NMOqtGgo","[""2_25_2021_es_db_23---7.png""]",0,"[]","[2,400,177,52,23]","{""1"":""2""}"
"33_K7UBG5aQ","[""2_25_2021_es_db_23---7.png""]",0,"[]","[2,386,147,47,23]","{""1"":""2""}"
"33_AlWkhO3s","[""2_25_2021_es_db_23---7.png""]",0,"[]","[2,97,448,40,47]","{""1"":""2""}"
"34_msyXrgRM","[""2_25_2021_es_db_23---8.png""]",0,"[]","[2,126,58,46,27]","{""1"":""2""}"
"34_E0b4IMfM","[""2_25_2021_es_db_23---8.png""]",0,"[]","[2,167,42,78,49]","{""1"":""0""}"
"34_vXt0XJNs","[""2_25_2021_es_db_23---8.png""]",0,"[]","[2,76,107,42,22]","{""1"":""2""}"
"34_2wSunFD2","[""2_25_2021_es_db_23---8.png""]",0,"[]","[2,79,133,40,18]","{""1"":""2""}"
"34_zz6XswP4","[""2_25_2021_es_db_23---8.png""]",0,"[]","[2,30,84,34,46]","{""1"":""0""}"
"34_O3GQQ0Lu","[""2_25_2021_es_db_23---8.png""]",0,"[]","[2,49,155,38,19]","{""1"":""2""}"
"34_12wBH6MV","[""2_25_2021_es_db_23---8.png""]",0,"[]","[2,27,137,37,17]","{""1"":""2""}"
"34_VOCOrVXe","[""2_25_2021_es_db_23---8.png""]",0,"[]","[2,5,195,49,18]","{""1"":""2""}"
"34_f23TtBBP","[""2_25_2021_es_db_23---8.png""]",0,"[]","[2,17,164,45,16]","{""1"":""2""}"
"37_YXljiJUr","[""2_25_2021_es_db_23---17.png""]",0,"[]","[2,121,266,79,75]","{""1"":""0""}"
"38_sG7lfIWc","[""2_25_2021_es_db_23---18.png""]",0,"[]","[2,97,39,34,42]","{""1"":""2""}"
"38_bvmCnQPJ","[""2_25_2021_es_db_23---18.png""]",0,"[]","[2,71,49,24,46]","{""1"":""2""}"
"38_Uz5P9ojc","[""2_25_2021_es_db_23---18.png""]",0,"[]","[2,38,99,16,50]","{""1"":""2""}"
"38_BNySfDSH","[""2_25_2021_es_db_23---18.png""]",0,"[]","[2,73,104,23,27]","{""1"":""2""}"
"38_rPdUx4eL","[""2_25_2021_es_db_23---18.png""]",0,"[]","[2,56,131,31,16]","{""1"":""2""}"
"37_B3Bbu9Qk","[""2_25_2021_es_db_23---17.png""]",0,"[]","[2,454,131,16,15]","{""1"":""2""}"
"37_PuQniyIL","[""2_25_2021_es_db_23---17.png""]",0,"[]","[2,478,128,20,14]","{""1"":""2""}"
"38_DX2FXKd3","[""2_25_2021_es_db_23---18.png""]",0,"[]","[2,15,274,18,26]","{""1"":""2""}"
"37_3HGUE26Q","[""2_25_2021_es_db_23---17.png""]",0,"[]","[2,437,275,18,24]","{""1"":""2""}"
"37_GsHdXReR","[""2_25_2021_es_db_23---17.png""]",0,"[]","[2,420,303,16,21]","{""1"":""2""}"
"41_GN07kyia","[""2_25_2021_es_db_23---27.png""]",0,"[]","[2,169,368,115,44]","{""1"":""1""}"
"41_GJbHvD0U","[""2_25_2021_es_db_23---27.png""]",0,"[]","[2,250,228,47,37]","{""1"":""2""}"
"41_UGjmV2up","[""2_25_2021_es_db_23---27.png""]",0,"[]","[2,441,85,34,40]","{""1"":""2""}"
"41_rYmL0rc9","[""2_25_2021_es_db_23---27.png""]",0,"[]","[2,142,426,43,25]","{""1"":""2""}"
"41_uibmxZ2A","[""2_25_2021_es_db_23---27.png""]",0,"[]","[2,132,456,31,34]","{""1"":""2""}"
"41_St24vhDX","[""2_25_2021_es_db_23---27.png""]",0,"[]","[2,382,216,35,25]","{""1"":""2""}"
"41_3FWFhXWH","[""2_25_2021_es_db_23---27.png""]",0,"[]","[2,34,407,60,40]","{""1"":""0""}"
"42_EqelhKUV","[""2_25_2021_es_db_23---28.png""]",0,"[]","[2,24,81,26,42]","{""1"":""2""}"
"45_iolpcT6G","[""2_25_2021_es_db_23---37.png""]",0,"[]","[2,165,405,92,59]","{""1"":""1""}"
"45_ybZnQrjQ","[""2_25_2021_es_db_23---37.png""]",0,"[]","[2,142,45,42,30]","{""1"":""2""}"
"45_3CW0zJvJ","[""2_25_2021_es_db_23---37.png""]",0,"[]","[2,206,67,38,14]","{""1"":""2""}"
"45_jm5ahlSH","[""2_25_2021_es_db_23---37.png""]",0,"[]","[2,358,263,43,25]","{""1"":""2""}"
"45_ThgcU9uL","[""2_25_2021_es_db_23---37.png""]",0,"[]","[2,458,177,31,24]","{""1"":""2""}"
"45_v65knbgs","[""2_25_2021_es_db_23---37.png""]",0,"[]","[2,436,154,31,17]","{""1"":""2""}"
"46_zzsy7Tku","[""2_25_2021_es_db_23---38.png""]",0,"[]","[2,118,136,28,29]","{""1"":""2""}"
"46_UmZEt3n3","[""2_25_2021_es_db_23---38.png""]",0,"[]","[2,25,122,76,26]","{""1"":""0""}"
"46_XyGHmOsk","[""2_25_2021_es_db_23---38.png""]",0,"[]","[2,38,179,33,25]","{""1"":""2""}"
"46_pGH6iXJk","[""2_25_2021_es_db_23---38.png""]",0,"[]","[2,15,155,38,16]","{""1"":""2""}"
"46_Fe777MG8","[""2_25_2021_es_db_23---38.png""]",0,"[]","[2,89,99,35,20]","{""1"":""2""}"
"46_iPypgJNf","[""2_25_2021_es_db_23---38.png""]",0,"[]","[2,73,86,37,19]","{""1"":""2""}"
"46_zCJnXLYG","[""2_25_2021_es_db_23---38.png""]",0,"[]","[2,81,69,52,18]","{""1"":""2""}"
"46_LFn6kh9b","[""2_25_2021_es_db_23---38.png""]",0,"[]","[2,133,27,25,37]","{""1"":""2""}"
"46_AUSyTh17","[""2_25_2021_es_db_23---38.png""]",0,"[]","[2,147,11,37,19]","{""1"":""2""}"
"50_EnZR8ifq","[""2_25_2021_es_db_23---48.png""]",0,"[]","[2,399,261,31,40]","{""1"":""2""}"
"54_uCYc6LcM","[""2_25_2021_es_db_23---57.png""]",0,"[]","[2,189,308,21,38]","{""1"":""2""}"
"54_QLdc2zgo","[""2_25_2021_es_db_23---57.png""]",0,"[]","[2,274,239,77,22]","{""1"":""0""}"
"54_d8yOLWsC","[""2_25_2021_es_db_23---57.png""]",0,"[]","[2,290,157,45,29]","{""1"":""2""}"
"54_ZsRfFov6","[""2_25_2021_es_db_23---57.png""]",0,"[]","[2,326,208,33,26]","{""1"":""2""}"
"59_AQ6rd7x9","[""2_25_2021_es_db_23---67.png""]",0,"[]","[2,233,247,62,109]","{""1"":""1""}"
"59_gCZcQEic","[""2_25_2021_es_db_23---67.png""]",0,"[]","[2,462,81,22,41]","{""1"":""2""}"
"59_xg6jvjCZ","[""2_25_2021_es_db_23---67.png""]",0,"[]","[2,42,381,47,30]","{""1"":""2""}"
"59_F0oknien","[""2_25_2021_es_db_23---67.png""]",0,"[]","[2,63,417,53,19]","{""1"":""2""}"
"59_UnQ3YNDX","[""2_25_2021_es_db_23---67.png""]",0,"[]","[2,106,443,19,23]","{""1"":""2""}"
"60_n3M0gUOC","[""2_25_2021_es_db_23---68.png""]",0,"[]","[2,70,76,37,21]","{""1"":""2""}"
"60_vQXaQXW2","[""2_25_2021_es_db_23---68.png""]",0,"[]","[2,40,80,26,47]","{""1"":""0""}"
"65_shjJm8Rh","[""2_25_2021_es_db_23---99.png""]",0,"[]","[2,114,105,13,34]","{""1"":""2""}"
"65_C0T4M6Jn","[""2_25_2021_es_db_23---99.png""]",0,"[]","[2,57,82,56,21]","{""1"":""2""}"
"65_CuGk7Kjv","[""2_25_2021_es_db_23---99.png""]",0,"[]","[2,46,51,47,23]","{""1"":""2""}"
"68_ph2AGTLR","[""2_25_2021_es_db_24---9.png""]",0,"[]","[2,233,343,33,50]","{""1"":""0""}"
"68_v0d3KJl9","[""2_25_2021_es_db_24---9.png""]",0,"[]","[2,248,287,24,62]","{""1"":""0""}"
"68_zB73ZTcd","[""2_25_2021_es_db_24---9.png""]",0,"[]","[2,254,272,36,20]","{""1"":""2""}"
"68_CIJgxYgy","[""2_25_2021_es_db_24---9.png""]",0,"[]","[2,319,252,25,51]","{""1"":""2""}"
"68_ZRq3QkfC","[""2_25_2021_es_db_24---9.png""]",0,"[]","[2,353,233,28,49]","{""1"":""2""}"
"68_NuXnUuIq","[""2_25_2021_es_db_24---9.png""]",0,"[]","[2,374,247,42,23]","{""1"":""2""}"
"68_tCEYfKw6","[""2_25_2021_es_db_24---9.png""]",0,"[]","[2,376,230,37,23]","{""1"":""2""}"
"68_IiQXI1fi","[""2_25_2021_es_db_24---9.png""]",0,"[]","[2,399,160,58,21]","{""1"":""0""}"
"68_eaUdss3j","[""2_25_2021_es_db_24---9.png""]",0,"[]","[2,389,188,16,20]","{""1"":""2""}"
"68_JmS0C62D","[""2_25_2021_es_db_24---9.png""]",0,"[]","[2,414,189,35,26]","{""1"":""2""}"
"68_Ro6KPXJa","[""2_25_2021_es_db_24---9.png""]",0,"[]","[2,438,186,34,19]","{""1"":""2""}"
"68_EMXaCcLn","[""2_25_2021_es_db_24---9.png""]",0,"[]","[2,114,431,32,42]","{""1"":""0""}"
"69_YSNkz1XA","[""2_25_2021_es_db_24---10.png""]",0,"[]","[2,22,181,27,16]","{""1"":""2""}"
"70_cX0e26Z5","[""2_25_2021_es_db_24---19.png""]",0,"[]","[2,286,380,36,48]","{""1"":""2""}"
"70_XliTaXcq","[""2_25_2021_es_db_24---19.png""]",0,"[]","[2,408,151,49,31]","{""1"":""2""}"
"71_g6Sw4cxP","[""2_25_2021_es_db_24---20.png""]",0,"[]","[2,77,156,51,24]","{""1"":""0""}"
"71_0RzPTPuZ","[""2_25_2021_es_db_24---20.png""]",0,"[]","[2,110,103,44,30]","{""1"":""0""}"
"71_NkmUOS5n","[""2_25_2021_es_db_24---20.png""]",0,"[]","[2,51,118,42,24]","{""1"":""2""}"
"71_iZUvZaTC","[""2_25_2021_es_db_24---20.png""]",0,"[]","[2,64,81,39,23]","{""1"":""2""}"
"71_bwXyFh88","[""2_25_2021_es_db_24---20.png""]",0,"[]","[2,105,106,1,0]","{""1"":""2""}"
"71_zXEC9F2Z","[""2_25_2021_es_db_24---20.png""]",0,"[]","[2,116,11,30,39]","{""1"":""2""}"
"71_xbIW0JRX","[""2_25_2021_es_db_24---20.png""]",0,"[]","[2,94,56,21,34]","{""1"":""2""}"
"71_Pj9RFDyX","[""2_25_2021_es_db_24---20.png""]",0,"[]","[2,120,59,21,36]","{""1"":""2""}"
"71_FYHFXkuS","[""2_25_2021_es_db_24---20.png""]",0,"[]","[2,61,25,22,40]","{""1"":""2""}"
"73_YnaQ7ujr","[""2_25_2021_es_db_24---29.png""]",0,"[]","[2,228,397,87,71]","{""1"":""1""}"
"73_6BqwnFnV","[""2_25_2021_es_db_24---29.png""]",0,"[]","[2,418,384,41,41]","{""1"":""2""}"
"74_TbZ2tXiF","[""2_25_2021_es_db_24---30.png""]",0,"[]","[2,0,381,36,42]","{""1"":""2""}"
"77_TUMbVcwX","[""2_25_2021_es_db_24---40.png""]",0,"[]","[2,367,52,21,45]","{""1"":""2""}"
"85_Blhc43T3","[""2_25_2021_es_db_24---59.png""]",0,"[]","[2,331,300,88,63]","{""1"":""1""}"
"85_nXFstBNW","[""2_25_2021_es_db_24---59.png""]",0,"[]","[2,399,318,40,22]","{""1"":""2""}"
"85_0swqnfXK","[""2_25_2021_es_db_24---59.png""]",0,"[]","[2,453,136,32,27]","{""1"":""2""}"
"85_yyBytpBw","[""2_25_2021_es_db_24---59.png""]",0,"[]","[2,482,244,18,33]","{""1"":""2""}"
"85_3CAHrt2n","[""2_25_2021_es_db_24---59.png""]",0,"[]","[2,457,264,22,55]","{""1"":""0""}"
"85_qMU32iij","[""2_25_2021_es_db_24---59.png""]",0,"[]","[2,473,325,24,15]","{""1"":""2""}"
"85_ajJZkyw1","[""2_25_2021_es_db_24---59.png""]",0,"[]","[2,482,295,18,27]","{""1"":""2""}"
"86_JzXRwlSK","[""2_25_2021_es_db_24---60.png""]",0,"[]","[2,138,157,34,103]","{""1"":""1""}"
"86_rYoJVPMN","[""2_25_2021_es_db_24---60.png""]",0,"[]","[2,85,359,21,31]","{""1"":""2""}"
"86_NbQcazEZ","[""2_25_2021_es_db_24---60.png""]",0,"[]","[2,53,388,81,33]","{""1"":""0""}"
"86_SQfVyEkY","[""2_25_2021_es_db_24---60.png""]",0,"[]","[2,36,137,28,20]","{""1"":""2""}"
"86_ti30GBvR","[""2_25_2021_es_db_24---60.png""]",0,"[]","[2,61,238,15,35]","{""1"":""2""}"
"86_IH7xNe4o","[""2_25_2021_es_db_24---60.png""]",0,"[]","[2,85,217,28,79]","{""1"":""0""}"
"86_ZqeraXTn","[""2_25_2021_es_db_24---60.png""]",0,"[]","[2,40,271,21,53]","{""1"":""0""}"
"86_c3OoXyRi","[""2_25_2021_es_db_24---60.png""]",0,"[]","[2,61,291,17,26]","{""1"":""2""}"
"86_B8zVLhxU","[""2_25_2021_es_db_24---60.png""]",0,"[]","[2,50,330,27,13]","{""1"":""2""}"
"97_HMSaoSa0","[""2_25_2021_es_db_24---100.png""]",0,"[]","[2,84,408,74,21]","{""1"":""0""}"
"97_SdAXYQaX","[""2_25_2021_es_db_24---100.png""]",0,"[]","[2,174,432,29,28]","{""1"":""2""}"
"97_gPyr6S43","[""2_25_2021_es_db_24---100.png""]",0,"[]","[2,15,387,64,20]","{""1"":""0""}"
"98_caSA4qwL","[""2_25_2021_es_db_24---101.png""]",0,"[]","[2,54,206,70,94]","{""1"":""1""}"
"101_FTXPhiDS","[""2_25_2021_es_db_25---8.png""]",0,"[]","[2,449,312,30,40]","{""1"":""2""}"
"102_5TahX6MD","[""2_25_2021_es_db_25---9.png""]",0,"[]","[2,407,99,55,111]","{""1"":""1""}"
"102_XW5zSKtg","[""2_25_2021_es_db_25---9.png""]",0,"[]","[2,30,307,32,50]","{""1"":""2""}"
"104_SX4TKcbs","[""2_25_2021_es_db_25---18.png""]",0,"[]","[2,358,309,36,28]","{""1"":""2""}"
"104_mdOtKE7n","[""2_25_2021_es_db_25---18.png""]",0,"[]","[2,413,274,45,23]","{""1"":""2""}"
"104_iadufutS","[""2_25_2021_es_db_25---18.png""]",0,"[]","[2,202,429,27,36]","{""1"":""2""}"
"105_sPivU4Mf","[""2_25_2021_es_db_25---19.png""]",0,"[]","[2,153,207,26,47]","{""1"":""2""}"
"105_UrXl99f8","[""2_25_2021_es_db_25---19.png""]",0,"[]","[2,83,183,59,31]","{""1"":""0""}"
"106_OwyIJs9O","[""2_25_2021_es_db_25---20.png""]",0,"[]","[2,141,18,71,82]","{""1"":""1""}"
"108_SLCiYj9W","[""2_25_2021_es_db_25---28.png""]",0,"[]","[2,458,258,18,27]","{""1"":""2""}"
"108_bG47iXqC","[""2_25_2021_es_db_25---28.png""]",0,"[]","[2,374,384,17,36]","{""1"":""2""}"
"108_SFvzmzXb","[""2_25_2021_es_db_25---28.png""]",0,"[]","[2,395,379,36,21]","{""1"":""2""}"
"108_vPkSnNYV","[""2_25_2021_es_db_25---28.png""]",0,"[]","[2,402,357,40,20]","{""1"":""2""}"
"108_6TZmSnAw","[""2_25_2021_es_db_25---28.png""]",0,"[]","[2,352,221,42,28]","{""1"":""0""}"
"108_e8MXQN69","[""2_25_2021_es_db_25---28.png""]",0,"[]","[2,384,202,26,41]","{""1"":""2""}"
"108_Z8eAXJiD","[""2_25_2021_es_db_25---28.png""]",0,"[]","[2,470,212,16,35]","{""1"":""2""}"
"108_OeUXgugl","[""2_25_2021_es_db_25---28.png""]",0,"[]","[2,453,217,16,28]","{""1"":""2""}"
"108_XqdLPafa","[""2_25_2021_es_db_25---28.png""]",0,"[]","[2,444,154,17,33]","{""1"":""2""}"
"108_gdaKQJVx","[""2_25_2021_es_db_25---28.png""]",0,"[]","[2,462,184,25,29]","{""1"":""2""}"
