# Exported using VGG Image Annotator (http://www.robots.ox.ac.uk/~vgg/software/via)
# Notes:
# - spatial_coordinates of [2,10,20,50,80] denotes a rectangle (shape_id=2) of size 50x80 placed at (10,20)
# - temporal coordinate of [1.349,2.741] denotes a temporal segment from time 1.346 sec. to 2.741 sec.
# - temporal coordinate of [4.633] denotes a still video frame at 4.633 sec.
# - metadata of {""1"":""3""} indicates attribute with id "1" set to an attribute option with id "3"
# SHAPE_ID = {"POINT":1,"RECTANGLE":2,"CIRCLE":3,"ELLIPSE":4,"LINE":5,"POLYLINE":6,"POLYGON":7,"EXTREME_RECTANGLE":8,"EXTREME_CIRCLE":9}
# FLAG_ID = {"RESERVED_FOR_FUTURE":1}
# ATTRIBUTE = {"1":{"aname":"name","anchor_id":"FILE1_Z0_XY1","type":4,"desc":"","options":{"0":"cow","1":"bull","2":"pup"},"default_option_id":"2"}}
# CSV_HEADER = metadata_id,file_list,flags,temporal_coordinates,spatial_coordinates,metadata
"4_jGHBm10q","[""2_25_2021_es_sb_3---100.png""]",0,"[]","[2,340,30,49,35]","{""1"":""0""}"
"5_6OQVn7Am","[""2_25_2021_es_sb_3---99.png""]",0,"[]","[2,100,346,77,93]","{""1"":""1""}"
"14_UIiAWa9P","[""2_25_2021_es_sb_1---100.png""]",0,"[]","[2,88,348,40,43]","{""1"":""2""}"
"16_ob0t7C6l","[""2_25_2021_es_sb_1---92.png""]",0,"[]","[2,378,312,56,26]","{""1"":""0""}"
"16_Hi94qsXn","[""2_25_2021_es_sb_1---92.png""]",0,"[]","[2,404,306,16,20]","{""1"":""2""}"
"17_XUlgyQRb","[""2_25_2021_es_sb_1---91.png""]",0,"[]","[2,397,139,67,29]","{""1"":""0""}"
"21_8XBgg0JF","[""2_25_2021_es_sb_4---60.png""]",0,"[]","[2,218,146,87,57]","{""1"":""1""}"
"21_qjNQpAis","[""2_25_2021_es_sb_4---60.png""]",0,"[]","[2,274,307,27,21]","{""1"":""2""}"
"27_h2DS7THJ","[""2_25_2021_es_sb_4---50.png""]",0,"[]","[2,306,234,77,70]","{""1"":""1""}"
"27_1qEUonDo","[""2_25_2021_es_sb_4---50.png""]",0,"[]","[2,113,329,29,39]","{""1"":""2""}"
"27_D8pPujay","[""2_25_2021_es_sb_4---50.png""]",0,"[]","[2,36,324,36,21]","{""1"":""2""}"
"27_NgBBMalu","[""2_25_2021_es_sb_4---50.png""]",0,"[]","[2,23,156,26,23]","{""1"":""2""}"
"28_HACHVdgW","[""2_25_2021_es_sb_4---49.png""]",0,"[]","[2,240,272,90,50]","{""1"":""1""}"
"28_iDfXNFNM","[""2_25_2021_es_sb_4---49.png""]",0,"[]","[2,458,319,34,20]","{""1"":""2""}"
"29_OCDWX1Ek","[""2_25_2021_es_sb_4---48.png""]",0,"[]","[2,213,245,83,28]","{""1"":""0""}"
"29_fuvNiJBe","[""2_25_2021_es_sb_4---48.png""]",0,"[]","[2,258,83,27,17]","{""1"":""2""}"
"30_BQ9bJbIP","[""2_25_2021_es_sb_4---47.png""]",0,"[]","[2,170,130,68,79]","{""1"":""0""}"
"35_0WAGcjyf","[""2_25_2021_es_sb_4---39.png""]",0,"[]","[2,212,351,82,57]","{""1"":""1""}"
"36_Sea1WkyF","[""2_25_2021_es_sb_4---38.png""]",0,"[]","[2,158,127,24,64]","{""1"":""2""}"
"36_KUnm3SpF","[""2_25_2021_es_sb_4---38.png""]",0,"[]","[2,186,128,16,68]","{""1"":""2""}"
"42_VrrNQo4k","[""2_25_2021_es_sb_4---31.png""]",0,"[]","[2,229,223,37,99]","{""1"":""1""}"
"43_obchIGLw","[""2_25_2021_es_sb_4---30.png""]",0,"[]","[2,80,410,41,19]","{""1"":""2""}"
"43_5VWP0Zhq","[""2_25_2021_es_sb_4---30.png""]",0,"[]","[2,76,378,48,17]","{""1"":""2""}"
"43_jTQy64s9","[""2_25_2021_es_sb_4---30.png""]",0,"[]","[2,40,304,25,34]","{""1"":""2""}"
"43_QaloqqBW","[""2_25_2021_es_sb_4---30.png""]",0,"[]","[2,66,347,28,11]","{""1"":""2""}"
"43_K2DLpcCp","[""2_25_2021_es_sb_4---30.png""]",0,"[]","[2,63,431,31,23]","{""1"":""2""}"
"44_qm7Av8OJ","[""2_25_2021_es_sb_4---29.png""]",0,"[]","[2,311,356,23,28]","{""1"":""2""}"
"44_jXkj28Q5","[""2_25_2021_es_sb_4---29.png""]",0,"[]","[2,344,383,40,13]","{""1"":""2""}"
"44_vQafnPHb","[""2_25_2021_es_sb_4---29.png""]",0,"[]","[2,281,141,39,20]","{""1"":""2""}"
"44_CKXSQOkc","[""2_25_2021_es_sb_4---29.png""]",0,"[]","[2,463,305,25,28]","{""1"":""2""}"
"51_6rWGq5ZF","[""2_25_2021_es_sb_4---20.png""]",0,"[]","[2,48,316,29,40]","{""1"":""2""}"
"51_NpiXVG5O","[""2_25_2021_es_sb_4---20.png""]",0,"[]","[2,10,335,40,22]","{""1"":""2""}"
"51_0rXq70Yh","[""2_25_2021_es_sb_4---20.png""]",0,"[]","[2,311,271,30,25]","{""1"":""2""}"
"52_UJjX0GLA","[""2_25_2021_es_sb_4---19.png""]",0,"[]","[2,353,370,42,28]","{""1"":""2""}"
"52_txXyKOkx","[""2_25_2021_es_sb_4---19.png""]",0,"[]","[2,435,336,34,13]","{""1"":""2""}"
"52_9FzWucIU","[""2_25_2021_es_sb_4---19.png""]",0,"[]","[2,472,315,23,39]","{""1"":""2""}"
"52_k91mOZYx","[""2_25_2021_es_sb_4---19.png""]",0,"[]","[2,335,254,38,15]","{""1"":""2""}"
