# Exported using VGG Image Annotator (http://www.robots.ox.ac.uk/~vgg/software/via)
# Notes:
# - spatial_coordinates of [2,10,20,50,80] denotes a rectangle (shape_id=2) of size 50x80 placed at (10,20)
# - temporal coordinate of [1.349,2.741] denotes a temporal segment from time 1.346 sec. to 2.741 sec.
# - temporal coordinate of [4.633] denotes a still video frame at 4.633 sec.
# - metadata of {""1"":""3""} indicates attribute with id "1" set to an attribute option with id "3"
# SHAPE_ID = {"POINT":1,"RECTANGLE":2,"CIRCLE":3,"ELLIPSE":4,"LINE":5,"POLYLINE":6,"POLYGON":7,"EXTREME_RECTANGLE":8,"EXTREME_CIRCLE":9}
# FLAG_ID = {"RESERVED_FOR_FUTURE":1}
# ATTRIBUTE = {"1":{"aname":"name","anchor_id":"FILE1_Z0_XY1","type":4,"desc":"","options":{"0":"cow","1":"bull","2":"pup"},"default_option_id":"2"}}
# CSV_HEADER = metadata_id,file_list,flags,temporal_coordinates,spatial_coordinates,metadata
"3_hBW8axwO","[""3_27_2015_es_db_74---27.png""]",0,"[]","[2,308.652,177.205,54.077,45.757]","{""1"":""0""}"
"3_mmH4Mm3W","[""3_27_2015_es_db_74---27.png""]",0,"[]","[2,337.77,239.601,38.27,69.883]","{""1"":""0""}"
"3_D0QChlqX","[""3_27_2015_es_db_74---27.png""]",0,"[]","[2,394.343,334.443,36.605,27.454]","{""1"":""2""}"
"3_pe4a1HbW","[""3_27_2015_es_db_74---27.png""]",0,"[]","[2,313.644,291.181,23.294,60.732]","{""1"":""0""}"
"3_5xnK85c8","[""3_27_2015_es_db_74---27.png""]",0,"[]","[2,420.133,298.669,48.253,39.101]","{""1"":""0""}"
"3_2abLHX5c","[""3_27_2015_es_db_74---27.png""]",0,"[]","[2,380.2,276.206,41.597,19.967]","{""1"":""0""}"
"3_VYHtMXlw","[""3_27_2015_es_db_74---27.png""]",0,"[]","[2,396.007,222.962,44.925,47.421]","{""1"":""0""}"
"3_Y0SXqmpw","[""3_27_2015_es_db_74---27.png""]",0,"[]","[2,445.092,274.542,46.589,37.438]","{""1"":""0""}"
"3_AQ1KX16o","[""3_27_2015_es_db_74---27.png""]",0,"[]","[2,221.298,408.486,28.286,35.774]","{""1"":""2""}"
"3_WFmCEFh7","[""3_27_2015_es_db_74---27.png""]",0,"[]","[2,326.955,419.301,53.245,29.95]","{""1"":""2""}"
"3_vhj1z9wk","[""3_27_2015_es_db_74---27.png""]",0,"[]","[2,312,460,30,17]","{""1"":""2""}"
"3_9gMhwIX5","[""3_27_2015_es_db_74---27.png""]",0,"[]","[2,232,463,63,24]","{""1"":""0""}"
"3_ESFcXVb4","[""3_27_2015_es_db_74---27.png""]",0,"[]","[2,445,472,26,18]","{""1"":""2""}"
"3_x6bkr7jl","[""3_27_2015_es_db_74---27.png""]",0,"[]","[2,457,419,19,17]","{""1"":""2""}"
"3_mIXXINXv","[""3_27_2015_es_db_74---27.png""]",0,"[]","[2,458,439,40,26]","{""1"":""0""}"
"4_vn3fJJYs","[""3_27_2015_es_db_74---28.png""]",0,"[]","[2,230,226,16,20]","{""1"":""2""}"
"4_s4Waus6X","[""3_27_2015_es_db_74---28.png""]",0,"[]","[2,199,336,20,46]","{""1"":""0""}"
"4_NlCvILNp","[""3_27_2015_es_db_74---28.png""]",0,"[]","[2,160,349,28,14]","{""1"":""2""}"
"4_rgl4XFgU","[""3_27_2015_es_db_74---28.png""]",0,"[]","[2,165,277,23,38]","{""1"":""2""}"
"4_yZwfPwbB","[""3_27_2015_es_db_74---28.png""]",0,"[]","[2,116,386,59,57]","{""1"":""0""}"
"4_0ZGN8wQN","[""3_27_2015_es_db_74---28.png""]",0,"[]","[2,22,472,40,21]","{""1"":""2""}"
"4_SrpBoooA","[""3_27_2015_es_db_74---28.png""]",0,"[]","[2,35,437,50,27]","{""1"":""0""}"
"4_bs7Jk8tZ","[""3_27_2015_es_db_74---28.png""]",0,"[]","[2,37,421,21,18]","{""1"":""2""}"
"4_hYrnQyVN","[""3_27_2015_es_db_74---28.png""]",0,"[]","[2,105,435,60,37]","{""1"":""0""}"
"4_GEemk2WJ","[""3_27_2015_es_db_74---28.png""]",0,"[]","[2,182,446,26,13]","{""1"":""2""}"
"4_HhZiJVX2","[""3_27_2015_es_db_74---28.png""]",0,"[]","[2,90,399,36,20]","{""1"":""2""}"
"4_OvN6XC7k","[""3_27_2015_es_db_74---28.png""]",0,"[]","[2,226,483,38,15]","{""1"":""2""}"
"4_ndbpKmAk","[""3_27_2015_es_db_74---28.png""]",0,"[]","[2,236,461,60,23]","{""1"":""0""}"
"4_fxYZCtZA","[""3_27_2015_es_db_74---28.png""]",0,"[]","[2,227,416,15,23]","{""1"":""2""}"
"6_0XpkKMwq","[""3_27_2015_es_db_74---38.png""]",0,"[]","[2,234,36,64,29]","{""1"":""0""}"
"6_DBU2bZdn","[""3_27_2015_es_db_74---38.png""]",0,"[]","[2,263,203,32,56]","{""1"":""0""}"
"6_vBj6fnV4","[""3_27_2015_es_db_74---38.png""]",0,"[]","[2,250,337,35,50]","{""1"":""0""}"
"6_5leuoOPY","[""3_27_2015_es_db_74---38.png""]",0,"[]","[2,305,409,54,43]","{""1"":""0""}"
"6_hatMIEHP","[""3_27_2015_es_db_74---38.png""]",0,"[]","[2,233,476,59,21]","{""1"":""0""}"
"6_eLAtIFXX","[""3_27_2015_es_db_74---38.png""]",0,"[]","[2,135,244,22,29]","{""1"":""2""}"
"6_GNyi8Gt6","[""3_27_2015_es_db_74---38.png""]",0,"[]","[2,147,273,24,34]","{""1"":""2""}"
"6_jD6gdVO3","[""3_27_2015_es_db_74---38.png""]",0,"[]","[2,217,328,29,36]","{""1"":""2""}"
"6_qPiiTQSE","[""3_27_2015_es_db_74---38.png""]",0,"[]","[2,309,138,37,14]","{""1"":""2""}"
"6_EJHQHssi","[""3_27_2015_es_db_74---38.png""]",0,"[]","[2,224,135,31,27]","{""1"":""2""}"
"6_XViZxMaO","[""3_27_2015_es_db_74---38.png""]",0,"[]","[2,300,24,34,9]","{""1"":""2""}"
"6_lRupUxMX","[""3_27_2015_es_db_74---38.png""]",0,"[]","[2,313,1,64,28]","{""1"":""0""}"
"6_WSe6iwVb","[""3_27_2015_es_db_74---38.png""]",0,"[]","[2,443,53,32,19]","{""1"":""2""}"
"6_6JfqXXOa","[""3_27_2015_es_db_74---38.png""]",0,"[]","[2,369,140,31,41]","{""1"":""2""}"
"6_NepsaPhf","[""3_27_2015_es_db_74---38.png""]",0,"[]","[2,386,114,47,36]","{""1"":""2""}"
"6_xnqCSGh7","[""3_27_2015_es_db_74---38.png""]",0,"[]","[2,442,156,25,19]","{""1"":""2""}"
"6_gcSfEzdC","[""3_27_2015_es_db_74---38.png""]",0,"[]","[2,438,173,61,23]","{""1"":""0""}"
"6_3UXAPOJX","[""3_27_2015_es_db_74---38.png""]",0,"[]","[2,461,194,29,23]","{""1"":""2""}"
"6_wwTlg7Ml","[""3_27_2015_es_db_74---38.png""]",0,"[]","[2,448,208,51,32]","{""1"":""0""}"
"6_gmq0mXxR","[""3_27_2015_es_db_74---38.png""]",0,"[]","[2,448,255,34,25]","{""1"":""2""}"
"6_3GZqFvXm","[""3_27_2015_es_db_74---38.png""]",0,"[]","[2,460,285,39,32]","{""1"":""2""}"
"6_fXeyFKIO","[""3_27_2015_es_db_74---38.png""]",0,"[]","[2,377,258,24,33]","{""1"":""2""}"
"6_HJVMHde6","[""3_27_2015_es_db_74---38.png""]",0,"[]","[2,280,293,28,17]","{""1"":""2""}"
"6_DMgQYkJ8","[""3_27_2015_es_db_74---38.png""]",0,"[]","[2,256,299,39,20]","{""1"":""2""}"
"6_oit267eE","[""3_27_2015_es_db_74---38.png""]",0,"[]","[2,283,262,55,16]","{""1"":""0""}"
"6_4XbGP5B4","[""3_27_2015_es_db_74---38.png""]",0,"[]","[2,313,232,44,32]","{""1"":""0""}"
"6_LoVb5yZJ","[""3_27_2015_es_db_74---38.png""]",0,"[]","[2,311,185,59,20]","{""1"":""0""}"
"6_bE0frgj0","[""3_27_2015_es_db_74---38.png""]",0,"[]","[2,173,398,73,25]","{""1"":""0""}"
"6_9mZEbZux","[""3_27_2015_es_db_74---38.png""]",0,"[]","[2,122,343,23,57]","{""1"":""0""}"
"6_PE6j27h4","[""3_27_2015_es_db_74---38.png""]",0,"[]","[2,296,330,38,46]","{""1"":""2""}"
"6_Xb5RSC3X","[""3_27_2015_es_db_74---38.png""]",0,"[]","[2,334,293,61,24]","{""1"":""0""}"
"6_TNkdd4E4","[""3_27_2015_es_db_74---38.png""]",0,"[]","[2,195,457,18,29]","{""1"":""2""}"
"6_4Z5wQ7wc","[""3_27_2015_es_db_74---38.png""]",0,"[]","[2,418,280,18,35]","{""1"":""2""}"
"7_0sRXXkpE","[""3_27_2015_es_db_74---39.png""]",0,"[]","[2,253,105,39,41]","{""1"":""2""}"
"7_KTY5SXx0","[""3_27_2015_es_db_74---39.png""]",0,"[]","[2,176,26,42,21]","{""1"":""2""}"
"7_xQGKeeDg","[""3_27_2015_es_db_74---39.png""]",0,"[]","[2,106,23,63,25]","{""1"":""0""}"
"6_zXwM60Vl","[""3_27_2015_es_db_74---38.png""]",0,"[]","[2,453,19,47,30]","{""1"":""0""}"
"6_iniwAtXG","[""3_27_2015_es_db_74---38.png""]",0,"[]","[2,453,5,24,13]","{""1"":""2""}"
"7_VURfD7XI","[""3_27_2015_es_db_74---39.png""]",0,"[]","[2,33,8,14,10]","{""1"":""2""}"
"7_YmLALJXP","[""3_27_2015_es_db_74---39.png""]",0,"[]","[2,32,23,55,25]","{""1"":""0""}"
"7_zEMFoMmw","[""3_27_2015_es_db_74---39.png""]",0,"[]","[2,21,55,37,20]","{""1"":""2""}"
"7_d5J5r1XT","[""3_27_2015_es_db_74---39.png""]",0,"[]","[2,13,155,25,14]","{""1"":""2""}"
"7_ZBOJ9IzE","[""3_27_2015_es_db_74---39.png""]",0,"[]","[2,16,177,82,21]","{""1"":""0""}"
"7_UePXTUkN","[""3_27_2015_es_db_74---39.png""]",0,"[]","[2,41,197,29,17]","{""1"":""2""}"
"7_QXEVG8pp","[""3_27_2015_es_db_74---39.png""]",0,"[]","[2,29,216,55,26]","{""1"":""0""}"
"7_7d9X4XjR","[""3_27_2015_es_db_74---39.png""]",0,"[]","[2,82,242,32,43]","{""1"":""0""}"
"7_ugHCWU3D","[""3_27_2015_es_db_74---39.png""]",0,"[]","[2,26,252,35,21]","{""1"":""2""}"
"7_PVmcBXh1","[""3_27_2015_es_db_74---39.png""]",0,"[]","[2,33,283,52,36]","{""1"":""0""}"
