# Exported using VGG Image Annotator (http://www.robots.ox.ac.uk/~vgg/software/via)
# Notes:
# - spatial_coordinates of [2,10,20,50,80] denotes a rectangle (shape_id=2) of size 50x80 placed at (10,20)
# - temporal coordinate of [1.349,2.741] denotes a temporal segment from time 1.346 sec. to 2.741 sec.
# - temporal coordinate of [4.633] denotes a still video frame at 4.633 sec.
# - metadata of {""1"":""3""} indicates attribute with id "1" set to an attribute option with id "3"
# SHAPE_ID = {"POINT":1,"RECTANGLE":2,"CIRCLE":3,"ELLIPSE":4,"LINE":5,"POLYLINE":6,"POLYGON":7,"EXTREME_RECTANGLE":8,"EXTREME_CIRCLE":9}
# FLAG_ID = {"RESERVED_FOR_FUTURE":1}
# ATTRIBUTE = {"1":{"aname":"name","anchor_id":"FILE1_Z0_XY1","type":4,"desc":"","options":{"0":"cow","1":"bull","2":"pup"},"default_option_id":""}}
# CSV_HEADER = metadata_id,file_list,flags,temporal_coordinates,spatial_coordinates,metadata
"10_Eq1tGvTj","[""2_14_2018_es_db_66---102.png""]",0,"[]","[2,345.343,17.575,82.601,52.724]","{""1"":""1""}"
"20_snfG9BKD","[""2_14_2018_es_db_64---100.png""]",0,"[]","[2,142.496,152.614,70.826,43.845]","{""1"":""1""}"
"21_kzSE9XhY","[""2_14_2018_es_db_64---99.png""]",0,"[]","[2,66.61,364.25,28.668,39.629]","{""1"":""2""}"
"21_VckzPXud","[""2_14_2018_es_db_64---99.png""]",0,"[]","[2,161.046,259.696,34.57,47.218]","{""1"":""2""}"
"21_zHZX99XW","[""2_14_2018_es_db_64---99.png""]",0,"[]","[2,274.874,215.852,37.942,41.315]","{""1"":""2""}"
"21_iVgBnLaP","[""2_14_2018_es_db_64---99.png""]",0,"[]","[2,402.192,85.16,15.177,42.159]","{""1"":""2""}"
"22_xmiafT4W","[""2_14_2018_es_db_64---98.png""]",0,"[]","[2,276.801,184.534,50.967,25.484]","{""1"":""0""}"
"22_GQXHUw7o","[""2_14_2018_es_db_64---98.png""]",0,"[]","[2,305.8,174.868,27.24,17.575]","{""1"":""2""}"
"22_f2FFXXUX","[""2_14_2018_es_db_64---98.png""]",0,"[]","[2,325.132,130.931,80.843,21.969]","{""1"":""0""}"
"22_LOzpdows","[""2_14_2018_es_db_64---98.png""]",0,"[]","[2,347.979,153.779,34.271,14.059]","{""1"":""2""}"
