# Exported using VGG Image Annotator (http://www.robots.ox.ac.uk/~vgg/software/via)
# Notes:
# - spatial_coordinates of [2,10,20,50,80] denotes a rectangle (shape_id=2) of size 50x80 placed at (10,20)
# - temporal coordinate of [1.349,2.741] denotes a temporal segment from time 1.346 sec. to 2.741 sec.
# - temporal coordinate of [4.633] denotes a still video frame at 4.633 sec.
# - metadata of {""1"":""3""} indicates attribute with id "1" set to an attribute option with id "3"
# SHAPE_ID = {"POINT":1,"RECTANGLE":2,"CIRCLE":3,"ELLIPSE":4,"LINE":5,"POLYLINE":6,"POLYGON":7,"EXTREME_RECTANGLE":8,"EXTREME_CIRCLE":9}
# FLAG_ID = {"RESERVED_FOR_FUTURE":1}
# ATTRIBUTE = {}
# CSV_HEADER = metadata_id,file_list,flags,temporal_coordinates,spatial_coordinates,metadata
"1_eXTVXCgs","[""3_27_15_hs_1---21.png""]",0,"[]","[2,325.157,393.082,50.315,29.56]","{}"
"2_ZVOXOEUj","[""3_27_15_hs_1---34.png""]",0,"[]","[2,159.748,372.956,37.107,47.799]","{}"
"2_lCSMsa38","[""3_27_15_hs_1---34.png""]",0,"[]","[2,410.692,334.591,32.075,49.686]","{}"
"2_NjjCL9Y2","[""3_27_15_hs_1---34.png""]",0,"[]","[2,279.874,471.069,65.409,27.673]","{}"
"3_tSubXea2","[""3_27_15_hs_1---43.png""]",0,"[]","[2,327.673,89.937,55.975,26.415]","{}"
"3_uo6Y5JLj","[""3_27_15_hs_1---43.png""]",0,"[]","[2,431.447,232.704,35.849,57.233]","{}"
"3_gH5WjcuK","[""3_27_15_hs_1---43.png""]",0,"[]","[2,461.006,359.119,27.044,40.881]","{}"
"3_qEDVIij7","[""3_27_15_hs_1---43.png""]",0,"[]","[2,306.289,212.579,28.302,35.22]","{}"
"4_7s3EXJ4Z","[""3_27_15_hs_1---44.png""]",0,"[]","[2,22.013,358.491,27.673,35.849]","{}"
"4_0XVPrnY0","[""3_27_15_hs_1---44.png""]",0,"[]","[2,134.591,309.434,34.591,64.78]","{}"
"4_ZlQLx7oB","[""3_27_15_hs_1---44.png""]",0,"[]","[2,1.887,233.962,22.012,54.717]","{}"
"4_xE6kxeKT","[""3_27_15_hs_1---44.png""]",0,"[]","[2,118.239,159.119,59.748,21.384]","{}"
"4_7IqwWUhk","[""3_27_15_hs_1---44.png""]",0,"[]","[2,222.642,261.006,42.767,59.12]","{}"
"4_9jcLPsXN","[""3_27_15_hs_1---44.png""]",0,"[]","[2,245.912,157.862,33.962,29.559]","{}"
"4_FsibZO3k","[""3_27_15_hs_1---44.png""]",0,"[]","[2,281.132,35.22,64.151,27.673]","{}"
"5_ECxg9jd9","[""3_27_15_hs_2---23.png""]",0,"[]","[2,327.044,340.252,50.943,33.962]","{}"
"8_l7aLuCca","[""3_27_15_hs_2---32.png""]",0,"[]","[2,354.717,433.962,32.704,29.56]","{}"
